published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
10/11/2020,224,231,214,219,-1.79,301910,67441387,-1
10/12/2020,219,232,217,229,4.57,303789,68881035,1
10/13/2020,232,234,226,228,-0.44,180317,41502904,-1
10/14/2020,239,239,221,224,-1.75,108280,24305605,-1
10/15/2020,235,235,221,223,-0.45,99770,22408581,-1
10/18/2020,227,230,215,217,-2.69,89664,19668950,-1
10/19/2020,217,226,217,224,3.23,53574,11921589,1
10/20/2020,226,229,224,228,1.79,75138,17002190,1
10/21/2020,227,228,224,224,-1.75,56983,12878234,-1
10/22/2020,228,236,224,225,0.45,35109,7923669,1
10/28/2020,228,244,222,234,4,67586,15536883,1
10/29/2020,230,242,229,232,-0.85,71382,16569787,-1
11/1/2020,232,234,226,230,-0.86,65561,15077517,-1
11/2/2020,233,239,231,236,2.61,206120,48427083,1
11/3/2020,236,239,233,238,0.85,84891,19987005,1
11/4/2020,239,239,229,229,-3.78,74726,17351818,-1
11/5/2020,227,239,227,235,2.62,108930,25578713,1
11/8/2020,238,239,232,235,0,76858,17992749,0
11/9/2020,239,239,231,236,0.43,66240,15590718,1
11/10/2020,247,250,232,233,-1.27,700104,168782617,-1
11/11/2020,244,244,226,228,-2.15,135977,31186813,-1
11/12/2020,231,231,220,224,-1.75,115950,26077435,-1
11/18/2020,213,236,213,220,-1.79,107632,24196565,-1
11/19/2020,224,232,219,226,2.73,103550,23100166,1
11/22/2020,230,234,221,226,0,88766,20012621,0
11/23/2020,230,230,221,222,-1.77,73214,16413172,-1
11/24/2020,222,227,222,224,0.9,70360,15803929,1
11/25/2020,227,233,224,225,0.45,131444,29865014,1
11/26/2020,236,236,222,223,-0.89,98843,22241490,-1
11/29/2020,227,245,227,241,8.07,274641,65291639,1
11/30/2020,250,250,233,235,-2.49,132714,31678712,-1
12/1/2020,242,242,228,229,-2.55,58199,13440970,-1
12/2/2020,229,232,226,227,-0.87,61700,14083384,-1
12/3/2020,231,235,225,228,0.44,78329,17822044,1
12/6/2020,230,236,222,222,-2.63,74608,16804737,-1
12/7/2020,222,231,222,231,4.05,84931,19334252,1
12/8/2020,235,239,226,228,-1.3,54978,12625336,-1
12/9/2020,231,231,225,229,0.44,85676,19566426,1
12/10/2020,231,231,225,227,-0.87,30552,6922757,-1
12/13/2020,226,228,223,227,0,44357,9962005,0
12/14/2020,227,231,226,230,1.32,47929,10913277,1
12/15/2020,230,233,225,225,-2.17,23335,5306333,-1
12/16/2020,225,229,222,223,-0.89,31722,7104721,-1
12/17/2020,223,228,223,223,0,29642,6646473,0
12/20/2020,234,234,215,217,-2.69,146977,32486152,-1
12/21/2020,215,224,206,224,3.23,52540,11264968,1
12/22/2020,227,230,220,225,0.45,66819,15104394,1
12/23/2020,228,229,218,220,-2.22,34700,7735263,-1
12/24/2020,220,226,218,218,-0.91,16617,3668318,-1
12/27/2020,222,223,217,220,0.92,34151,7484754,1
12/28/2020,221,222,218,219,-0.45,40882,9010997,-1
12/29/2020,216,222,215,218,-0.46,28126,6096689,-1
12/30/2020,218,225,216,225,3.21,55281,12136443,1
12/31/2020,219,219,212,217,0.46,28128,6079370,1
1/3/2021,220,220,216,220,1.38,45948,10033351,1
1/4/2021,224,224,218,220,0,44468,9773654,0
1/5/2021,217,222,216,218,-0.91,19996,4342410,-1
1/6/2021,216,221,216,221,1.38,41390,9067535,1
1/7/2021,222,222,215,219,-0.9,60322,13154467,-1
1/10/2021,222,229,222,228,4.11,125733,28397674,1
1/11/2021,229,243,226,239,4.82,221781,52483688,1
1/12/2021,241,245,236,237,-0.84,111292,26655984,-1
1/13/2021,238,246,238,245,3.38,148601,36223136,1
1/17/2021,248,269,248,269,9.8,182631,47997820,1
1/18/2021,282,295,282,295,9.67,142124,41843626,1
1/19/2021,309,320,284,288,-2.37,421369,123379266,-1
1/20/2021,290,292,270,277,-3.82,183770,51218622,-1
1/21/2021,290,290,269,275,-0.72,170039,46404482,-1
1/24/2021,275,285,272,274,-0.36,117722,32359040,-1
1/25/2021,277,284,269,284,3.65,125490,34610010,1
1/26/2021,298,298,277,283,-0.35,141710,40331742,-1
1/27/2021,297,297,279,283,0,83640,23581323,0
1/28/2021,280,284,278,278,-1.77,86152,24228469,-1
1/31/2021,280,285,275,278,0,160225,45004704,0
2/1/2021,276,293,276,290,4.32,128243,36434253,1
2/2/2021,290,298,285,293,1.03,110595,32339913,1
2/3/2021,294,298,287,289,-1.37,99709,29026007,-1
2/4/2021,284,292,284,288,-0.35,71906,20804911,-1
2/7/2021,293,295,287,290,0.69,55578,16140977,1
2/8/2021,294,310,290,309,6.55,277398,84209122,1
2/9/2021,315,333,305,330,6.8,311903,99114701,1
2/10/2021,330,336,317,325,-1.52,150286,48887084,-1
2/11/2021,341,341,319,321,-1.23,107509,34589389,-1
2/14/2021,320,324,310,314,-2.18,148364,46772463,-1
2/15/2021,320,333,320,332,5.73,125852,41143103,1
2/16/2021,334,339,325,325,-2.11,110605,36706515,-1
