date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2024-12-05,414.0,426.0,411.0,411.0,-2.61,49810.0,20763941.9,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-08,404.0,425.0,404.0,411.0,0.0,54035.0,22412642.7,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-09,408.0,424.0,407.0,413.6,0.63,39854.0,16509562.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-10,420.0,427.7,410.0,413.0,-0.15,31381.0,13016166.6,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-11,413.5,420.9,411.2,419.0,1.45,28812.0,12049119.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-12,422.1,435.0,422.1,427.0,1.91,82473.0,35398908.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-16,430.0,438.8,425.1,433.0,1.41,96641.0,41886818.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-17,440.0,440.0,425.0,425.1,-1.82,28456.0,12219463.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-18,425.0,429.0,406.1,408.1,-4.0,33373.0,13801695.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-19,416.0,416.0,398.2,398.5,-2.35,29605.0,11942619.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-22,399.0,400.0,388.0,393.8,-1.18,36055.0,14181750.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-23,401.6,424.0,394.6,420.0,6.65,35627.0,14572702.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-24,422.0,425.7,407.7,411.0,-2.14,28185.0,11749857.8,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-26,411.0,415.0,400.0,400.0,-2.68,28610.0,11610500.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-29,400.0,404.0,390.0,390.5,-2.38,16210.0,6413771.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-31,391.9,393.0,379.1,382.0,-2.18,22104.0,8449783.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2025-01-01,389.0,402.0,376.0,399.0,4.45,12259.0,4791427.8,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-02,395.0,400.0,390.0,395.0,-1.0,13168.0,5203601.0,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-05,402.8,404.9,395.0,404.0,2.28,14677.0,5865387.3,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-06,410.9,416.6,403.2,415.0,2.72,33356.0,13709837.9,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-07,416.0,431.0,415.0,420.0,1.2,53165.0,22503816.5,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-08,421.0,428.0,413.3,423.8,0.9,32778.0,13862826.8,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-09,423.0,431.7,421.2,421.7,-0.5,34694.0,14747510.1,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-12,415.1,430.0,415.1,420.0,-0.4,21011.0,8902424.8,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
2025-01-13,420.0,428.0,407.7,415.9,-0.98,36898.0,15260298.2,2025,-5.8,0.0,-8.2,0.0,-36.0,3.7,5.1
