date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2024-05-19,179.0,181.0,177.0,181.0,2.84,119962,21514962.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-20,184.6,192.0,178.5,186.5,3.04,320341,59156168.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-21,190.2,190.2,184.3,188.0,0.8,161501,30123698.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-22,187.0,194.0,186.0,192.0,2.13,219662,41937711.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-26,192.0,196.0,189.0,192.0,0.0,210409,40489722.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-27,192.3,195.0,189.0,190.0,-1.04,97055,18584939.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-29,193.8,197.0,187.0,187.0,-1.58,143195,27341557.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-30,190.7,190.7,184.0,185.1,-1.02,66020,12348331.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-02,188.0,188.0,183.5,185.2,0.05,57918,10695685.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-03,188.9,188.9,183.0,183.6,-0.86,51212,9426716.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-04,187.2,187.2,182.4,184.0,0.22,37118,6814898.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-05,187.6,187.6,181.1,183.9,-0.05,64984,11860929.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-06,183.0,184.0,180.1,180.5,-1.85,64245,11621120.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-09,184.1,184.1,178.0,178.2,-1.27,59566,10675542.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-10,181.7,181.7,177.1,180.0,1.01,66964,11946379.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-11,183.6,183.6,178.5,181.1,0.61,58416,10538469.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-12,183.5,184.5,182.0,184.0,1.6,64847,11899927.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-13,185.0,186.1,181.1,186.1,1.14,68068,12464569.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-16,186.4,186.4,180.0,183.5,-1.4,54289,9905142.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-18,182.0,184.0,179.1,179.2,-2.34,50561,9109127.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-19,182.7,182.7,178.6,178.7,-0.28,35384,6352316.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-20,182.2,182.2,177.2,177.8,-0.5,39187,6980428.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
